antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cluster_id,cluster_label,algorithm,basket_type,condition
frozenset({'e5ae72c62ebfa708624f5029d609b160'}),frozenset({'5b8a5a9417210b1b84b67b9a7aefb935'}),0.0014477420791803553,0.0008909182025725263,0.00033409432596469735,0.23076923076923075,259.02403846153845,1.0,0.00033280450619372536,1.2988418063366558,0.9975835982081451,0.16666666666666663,0.23008329796492308,0.30288461538461536,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'5b8a5a9417210b1b84b67b9a7aefb935'}),frozenset({'e5ae72c62ebfa708624f5029d609b160'}),0.0008909182025725263,0.0014477420791803553,0.00033409432596469735,0.37499999999999994,259.0240384615384,1.0,0.00033280450619372536,1.5976836126733116,0.9970276245146668,0.16666666666666663,0.37409384932805434,0.30288461538461536,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),0.0023943426694136645,0.004009131911576368,0.0007238710395901777,0.3023255813953488,75.4092377260982,1.0,0.0007142718039869824,1.4275869109267405,0.989107286997441,0.12745098039215685,0.2995172536635025,0.2414405684754522,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),0.004009131911576368,0.0023943426694136645,0.0007238710395901777,0.18055555555555558,75.4092377260982,1.0,0.0007142718039869824,1.21741707335258,0.9907109159638929,0.12745098039215685,0.17858881570787133,0.2414405684754522,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.006904616069937079,0.004788685338827329,0.001559106854501921,0.22580645161290322,47.15416354088522,1.0,0.0015260428207575817,1.285481281437348,0.9855981416957026,0.15384615384615385,0.222081243468703,0.2756939234808702,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),0.004788685338827329,0.006904616069937079,0.001559106854501921,0.3255813953488372,47.154163540885214,1.0,0.0015260428207575817,1.4725207416894035,0.9835026496471133,0.15384615384615385,0.3208924182265078,0.2756939234808702,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.0032852608719861906,0.004788685338827329,0.00044545910128626317,0.13559322033898305,28.315333070555774,1.0,0.00042972702071435983,1.1513228934315527,0.9678631284916203,0.058394160583941604,0.1314339307373019,0.11430823807646827,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),0.004788685338827329,0.0032852608719861906,0.00044545910128626317,0.09302325581395349,28.315333070555774,1.0,0.00042972702071435983,1.098941891859092,0.9693252391876015,0.058394160583941604,0.09003377939456932,0.11430823807646827,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'35afc973633aaeb6b877ff57b2793310'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.006292109805668467,0.019266106130630883,0.001113647753215658,0.17699115044247787,9.186659164151619,1.0,0.0009924232979140661,1.1916444086799862,0.8967891964585903,0.04555808656036447,0.16082348667441437,0.11739730932528518,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'35afc973633aaeb6b877ff57b2793310'}),0.019266106130630883,0.006292109805668467,0.001113647753215658,0.057803468208092484,9.186659164151619,1.0,0.0009924232979140661,1.0546715644393825,0.9086526997104413,0.04555808656036447,0.051837525806854926,0.11739730932528518,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),0.001413760603204524,0.002120640904806786,0.000471253534401508,0.3333333333333333,157.1851851851852,1.0,0.00046825545583674817,1.4968190386427898,0.9950448324681453,0.15384615384615383,0.3319165682802046,0.2777777777777778,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),0.002120640904806786,0.001413760603204524,0.000471253534401508,0.22222222222222224,157.1851851851852,1.0,0.00046825545583674817,1.2838965935101656,0.995749704840614,0.15384615384615383,0.2211210738818101,0.2777777777777778,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),0.004241281809613572,0.006126295947219604,0.00117813383600377,0.2777777777777778,45.34188034188034,1.0,0.001152150488442518,1.3761328209961574,0.9821107430194036,0.1282051282051282,0.27332595753648387,0.23504273504273504,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.006126295947219604,0.004241281809613572,0.00117813383600377,0.1923076923076923,45.34188034188034,1.0,0.001152150488442518,1.2328441272833355,0.9839734471313418,0.1282051282051282,0.18886745058065452,0.23504273504273504,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.003063147973609802,0.004241281809613572,0.000471253534401508,0.15384615384615383,36.27350427350427,1.0,0.0004582618606208821,1.1768057578613658,0.9754195225714962,0.06896551724137931,0.1502420910844952,0.13247863247863248,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),0.004241281809613572,0.003063147973609802,0.000471253534401508,0.11111111111111112,36.27350427350427,1.0,0.0004582618606208821,1.121553958529689,0.9765735920492191,0.06896551724137931,0.10837994695238846,0.13247863247863248,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'b0961721fd839e9982420e807758a2a6'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.00353440150801131,0.011074458058435438,0.000471253534401508,0.13333333333333333,12.039716312056738,1.0,0.00043211195313936577,1.1410679330094975,0.9201938992669662,0.03333333333333334,0.12362798824557224,0.08794326241134752,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'35afc973633aaeb6b877ff57b2793310'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.004241281809613572,0.011545711592836946,0.000471253534401508,0.11111111111111112,9.62358276643991,1.0,0.00042228491784376414,1.1120110744580585,0.8999053478466635,0.030769230769230774,0.10072838034697391,0.07596371882086168,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'0bcc3eeca39e1064258aa1e932269894'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.004005655042412818,0.013666352497643733,0.000471253534401508,0.1176470588235294,8.608519269776874,1.0,0.00041651084060793036,1.1178448005026704,0.8873905843387745,0.027397260273972598,0.10542143278716166,0.07606490872210953,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.011074458058435438,0.013195098963242224,0.000706880301602262,0.06382978723404256,4.8373860182370825,1.0,0.0005607517315569311,1.0540870533801732,0.8021602732110237,0.03,0.051311751915300054,0.05870060790273557,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.013195098963242224,0.011074458058435438,0.000706880301602262,0.053571428571428575,4.8373860182370825,1.0,0.0005607517315569311,1.044902459409955,0.8038841133397007,0.03,0.04297287177916199,0.05870060790273557,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.013195098963242224,0.013666352497643733,0.000706880301602262,0.053571428571428575,3.9199507389162562,1.0,0.0005265514279293004,1.042163853964754,0.7548551416746259,0.02702702702702703,0.04045798921575319,0.052647783251231525,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.013666352497643733,0.013195098963242224,0.000706880301602262,0.05172413793103448,3.9199507389162562,1.0,0.0005265514279293004,1.04063062291149,0.7552157986940594,0.02702702702702703,0.039044231465928926,0.052647783251231525,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'e256d05115f9eb3766f3ab752132a4e2'}),frozenset({'1dc7685f4fdb9622d84ae2ec658d5bbf'}),0.0010368066355624676,0.0010368066355624676,0.0010368066355624676,1.0,964.5,1.0,0.0010357316675629212,inf,1.0,1.0,1.0,1.0,2,Central High-Value Buyers,FP-Growth,product,segment
frozenset({'1dc7685f4fdb9622d84ae2ec658d5bbf'}),frozenset({'e256d05115f9eb3766f3ab752132a4e2'}),0.0010368066355624676,0.0010368066355624676,0.0010368066355624676,1.0,964.5,1.0,0.0010357316675629212,inf,1.0,1.0,1.0,1.0,2,Central High-Value Buyers,FP-Growth,product,segment
frozenset({'b0961721fd839e9982420e807758a2a6'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.002592016588906169,0.008812856402280975,0.0010368066355624676,0.4,45.38823529411765,1.0,0.0010139635655721075,1.651978572662865,0.9805093555093556,0.09999999999999998,0.39466527196652723,0.25882352941176473,2,Central High-Value Buyers,FP-Growth,product,segment
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'b0961721fd839e9982420e807758a2a6'}),0.008812856402280975,0.002592016588906169,0.0010368066355624676,0.11764705882352941,45.38823529411765,1.0,0.0010139635655721075,1.130395714532573,0.9866631799163181,0.09999999999999998,0.11535404182463006,0.25882352941176473,2,Central High-Value Buyers,FP-Growth,product,segment
frozenset({'35afc973633aaeb6b877ff57b2793310'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.005184033177812338,0.01503369621565578,0.002073613271124935,0.4,26.606896551724137,1.0,0.0019956780911578238,1.6416105063072404,0.9674309536216779,0.11428571428571427,0.39084210526315794,0.2689655172413793,2,Central High-Value Buyers,FP-Growth,product,segment
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'35afc973633aaeb6b877ff57b2793310'}),0.01503369621565578,0.005184033177812338,0.002073613271124935,0.13793103448275862,26.606896551724137,1.0,0.0019956780911578238,1.1539865215137377,0.9771052631578947,0.11428571428571427,0.13343875222367974,0.2689655172413793,2,Central High-Value Buyers,FP-Growth,product,segment
frozenset({'0cfc9fea40ee0f7006d150fbdf3fa808'}),frozenset({'480be8d20c4b6a7df1eae0f2c17f2db2'}),0.0009339975093399751,0.002801992528019925,0.0009339975093399751,1.0,356.8888888888889,1.0,0.0009313804552976154,inf,0.9981302586475538,0.33333333333333337,1.0,0.6666666666666667,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
frozenset({'480be8d20c4b6a7df1eae0f2c17f2db2'}),frozenset({'0cfc9fea40ee0f7006d150fbdf3fa808'}),0.002801992528019925,0.0009339975093399751,0.0009339975093399751,0.33333333333333337,356.8888888888889,1.0,0.0009313804552976154,1.4985990037359902,1.0000000000000002,0.33333333333333337,0.3327100862158513,0.6666666666666667,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),0.001556662515566625,0.0012453300124533001,0.0006226650062266501,0.4,321.20000000000005,1.0,0.0006207264476767539,1.6645911166459113,0.9984409105082632,0.2857142857142857,0.3992518703241896,0.45,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),0.0012453300124533001,0.001556662515566625,0.0006226650062266501,0.5,321.2,1.0,0.0006207264476767539,1.9968866749688667,0.9981296758104737,0.2857142857142857,0.49922045525413156,0.45,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
frozenset({'eebbed5ed3b134eceb717496c47652ba'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.0012453300124533001,0.008717310087173101,0.0006226650062266501,0.5,57.357142857142854,1.0,0.0006118090783472315,1.9825653798256537,0.983790523690773,0.06666666666666667,0.4956030150753769,0.2857142857142857,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'eebbed5ed3b134eceb717496c47652ba'}),0.008717310087173101,0.0012453300124533001,0.0006226650062266501,0.07142857142857142,57.357142857142854,1.0,0.0006118090783472315,1.075581952294281,0.9912060301507539,0.06666666666666667,0.07027075169219807,0.2857142857142857,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'35afc973633aaeb6b877ff57b2793310'}),0.008717310087173101,0.0037359900373599006,0.0009339975093399751,0.10714285714285715,28.67857142857143,1.0,0.0009014297257017195,1.115815691158157,0.9736180904522613,0.08108108108108107,0.10379464285714286,0.17857142857142858,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
frozenset({'35afc973633aaeb6b877ff57b2793310'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.0037359900373599006,0.008717310087173101,0.0009339975093399751,0.25,28.678571428571427,1.0,0.0009014297257017195,1.3217102532171026,0.96875,0.08108108108108107,0.24340452261306533,0.17857142857142858,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
frozenset({'368c6c730842d78016ad823897a372db'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.009028642590286426,0.00933997509339975,0.0006226650062266501,0.06896551724137931,7.383908045977012,1.0,0.0005383377093061666,1.0640422489737558,0.8724473766886586,0.03508771929824562,0.060187693708142795,0.067816091954023,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'368c6c730842d78016ad823897a372db'}),0.00933997509339975,0.009028642590286426,0.0006226650062266501,0.06666666666666667,7.3839080459770114,1.0,0.0005383377093061666,1.0617550257961217,0.8727215587680703,0.03508771929824562,0.058163158445910565,0.067816091954023,3,Credit-Reliant Northeast Buyers,FP-Growth,product,segment
